Geneid,ENSEMBL,SYMBOL,GENENAME,Fetal 1: SRX683826,Fetal 2: SRX683824,Fetal 3: SRX683825,Adult 1: SRX683793,Adult 2: SRX683794,Adult 3: SRX683797
1,ENSG00000121410,A1BG,alpha-1-B glycoprotein,436,742,77,487,61,61
10,ENSG00000156006,NAT2,N-acetyltransferase 2,6,8,4,8,0,0
100,ENSG00000196839,ADA,adenosine deaminase,218,420,130,859,155,155
1000,ENSG00000170558,CDH2,cadherin 2,48921,55752,27255,12157,1686,1686
10000,ENSG00000117020,AKT3,AKT serine/threonine kinase 3,98933,77728,18918,8289,490,490
100008586,ENSG00000236362,GAGE12F,G antigen 12F,0,0,0,0,0,0
100008587,ENSG00000274917,RNA5-8SN5,"RNA, 5.8S ribosomal N5",0,0,0,0,0,0
100008588,NA,RNA18SN5,"RNA, 18S ribosomal N5",0,0,0,0,0,0
100008589,NA,RNA28SN5,"RNA, 28S ribosomal N5",0,0,0,0,0,0
100009613,NA,LINC02584,long intergenic non-protein coding RNA 2584,0,0,0,0,0,0
100009676,ENSG00000256628,ZBTB11-AS1,ZBTB11 antisense RNA 1,245,326,198,209,28,28
10001,ENSG00000133997,MED6,mediator complex subunit 6,3214,3663,2143,2196,209,209
10002,ENSG00000278570,NR2E3,nuclear receptor subfamily 2 group E member 3,50,28,33,42,4,4
10003,ENSG00000077616,NAALAD2,N-acetylated alpha-linked acidic dipeptidase 2,647,899,1553,1810,162,162
100033413,ENSG00000207063,SNORD116-1,"small nucleolar RNA, C/D box 116-1",9,14,7,4,4,4
100033414,ENSG00000207001,SNORD116-2,"small nucleolar RNA, C/D box 116-2",15,14,12,0,0,0
100033415,ENSG00000207014,SNORD116-3,"small nucleolar RNA, C/D box 116-3",0,0,2,0,0,0
100033416,ENSG00000275529,SNORD116-4,"small nucleolar RNA, C/D box 116-4",171,215,69,45,6,6
100033417,ENSG00000207191,SNORD116-5,"small nucleolar RNA, C/D box 116-5",0,2,1,0,0,0
100033418,ENSG00000207442,SNORD116-6,"small nucleolar RNA, C/D box 116-6",9,11,2,4,0,0
100033419,ENSG00000207133,SNORD116-7,"small nucleolar RNA, C/D box 116-7",4,12,5,4,0,0
100033420,ENSG00000207093,SNORD116-8,"small nucleolar RNA, C/D box 116-8",8,6,5,2,0,0
100033421,ENSG00000206727,SNORD116-9,"small nucleolar RNA, C/D box 116-9",9,0,3,18,1,1
100033422,ENSG00000200661,SNORD116-10,"small nucleolar RNA, C/D box 116-10",0,0,0,0,0,0
100033423,ENSG00000206609,SNORD116-11,"small nucleolar RNA, C/D box 116-11",0,0,0,0,0,0
100033424,ENSG00000207197,SNORD116-12,"small nucleolar RNA, C/D box 116-12",0,2,0,21,1,1
100033425,ENSG00000207137,SNORD116-13,"small nucleolar RNA, C/D box 116-13",0,6,2,2,1,1
100033426,ENSG00000206621,SNORD116-14,"small nucleolar RNA, C/D box 116-14",8,4,4,9,0,0
100033427,ENSG00000207174,SNORD116-15,"small nucleolar RNA, C/D box 116-15",6,0,5,7,0,0
100033428,ENSG00000207263,SNORD116-16,"small nucleolar RNA, C/D box 116-16",0,0,0,0,0,0
100033429,ENSG00000206656,SNORD116-17,"small nucleolar RNA, C/D box 116-17",6,4,0,0,0,0
100033430,ENSG00000206688,SNORD116-18,"small nucleolar RNA, C/D box 116-18",1,8,3,4,0,0
100033431,ENSG00000278715,SNORD116-20,"small nucleolar RNA, C/D box 116-20",55,42,46,11,12,12
100033432,ENSG00000277785,SNORD116-21,"small nucleolar RNA, C/D box 116-21",108,67,59,0,5,5
100033433,ENSG00000275127,SNORD116-22,"small nucleolar RNA, C/D box 116-22",30,28,11,13,0,0
100033434,ENSG00000207375,SNORD116-23,"small nucleolar RNA, C/D box 116-23",1,4,4,8,0,0
100033435,ENSG00000207279,SNORD116-24,"small nucleolar RNA, C/D box 116-24",33,4,22,3,0,0
100033436,ENSG00000252326,SNORD116-25,"small nucleolar RNA, C/D box 116-25",2,4,3,0,1,1
100033437,ENSG00000199712,SNORD115-2,"small nucleolar RNA, C/D box 115-2",2,0,0,0,0,0
100033438,ENSG00000251815,SNORD116-26,"small nucleolar RNA, C/D box 116-26",4,2,9,6,2,2
100033439,ENSG00000251896,SNORD116-27,"small nucleolar RNA, C/D box 116-27",12,12,8,23,2,2
100033440,ENSG00000199970,SNORD115-3,"small nucleolar RNA, C/D box 115-3",0,2,0,2,0,0
100033441,ENSG00000200680,SNORD115-4,"small nucleolar RNA, C/D box 115-4",0,2,2,8,0,0
100033442,ENSG00000200503,SNORD115-5,"small nucleolar RNA, C/D box 115-5",0,0,0,2,0,0
100033443,ENSG00000200812,SNORD115-6,"small nucleolar RNA, C/D box 115-6",0,0,0,0,0,0
100033444,ENSG00000278089,SNORD115-7,"small nucleolar RNA, C/D box 115-7",0,0,0,0,0,0
100033445,ENSG00000200726,SNORD115-8,"small nucleolar RNA, C/D box 115-8",0,0,0,2,0,0
100033446,ENSG00000199782,SNORD115-9,"small nucleolar RNA, C/D box 115-9",0,0,0,0,0,0
100033447,ENSG00000201943,SNORD115-10,"small nucleolar RNA, C/D box 115-10",0,0,0,0,0,0
100033448,ENSG00000200486,SNORD115-11,"small nucleolar RNA, C/D box 115-11",0,0,0,0,0,0
100033449,ENSG00000199453,SNORD115-12,"small nucleolar RNA, C/D box 115-12",2,2,1,11,1,1
100033450,ENSG00000273835,SNORD115-13,"small nucleolar RNA, C/D box 115-13",6,4,8,27,0,0
100033451,ENSG00000199960,SNORD115-14,"small nucleolar RNA, C/D box 115-14",0,0,0,6,1,1
100033453,ENSG00000201679,SNORD115-15,"small nucleolar RNA, C/D box 115-15",0,0,0,0,0,0
100033454,ENSG00000200757,SNORD115-16,"small nucleolar RNA, C/D box 115-16",0,0,0,0,0,0
100033455,ENSG00000201482,SNORD115-17,"small nucleolar RNA, C/D box 115-17",0,0,0,4,0,0
100033456,ENSG00000200163,SNORD115-18,"small nucleolar RNA, C/D box 115-18",0,0,0,0,0,0
100033458,ENSG00000199968,SNORD115-19,"small nucleolar RNA, C/D box 115-19",0,0,0,0,0,0
100033460,ENSG00000201969,SNORD115-20,"small nucleolar RNA, C/D box 115-20",2,0,0,12,2,2
